"TaxonName";"scientificName";"Family";"Order";"Class";"Phylum";"Taxonomy";"OrigName";"Region";"Island";"PresentStatus";"FirstRecord";"FirstRecord_orig";"Source"
"Sempervivum arachnoideum subsp. tomentosum � S. tectorum";"Sempervivum �fauconnettii Reut.";"Crassulaceae";"Saxifragales";"Magnoliopsida";"Tracheophyta";"GBIF";"Sempervivum x fauconnetii";"Austria";"";"";2016;"2016";"Neilreichia 10: 197-274 (2019)"
"Talinum paniculatum";"Talinum paniculatum (Jacq.) Gaertn.";"Talinaceae";"Caryophyllales";"Magnoliopsida";"Tracheophyta";"GBIF";"Talinum paniculatum";"Austria";"";"";2018;"2018";"Neilreichia 10: 197-274 (2019)"
"Corythucha arcuata";"Corythucha arcuata Say";"Tingidae";"Hemiptera";"Insecta";"Arthropoda";"GBIF";"Corythucha arcuata";"Austria";"";"";2017;"2017";"Cs�ka et al. 2019"
"Callopistromyia annulipes";"";"Ulidiidae";"Diptera";"Insecta";"Arthropoda";"";"";"Austria";"";"";2014;"2014";"Korneyev et al 2014"
"Belonochilus numenius";"Belonochilus numenius (Say & T., 1831)";"Lygaeidae";"Hemiptera";"Insecta";"Arthropoda";"GBIF";"Belonochilus numenius (Say, 1831)";"Azores";"yes";"established";2010;"2010";"DAISIE"
"Blechnum occidentale";"Blechnum occidentale L.";"Blechnaceae";"Polypodiales";"Polypodiopsida";"Tracheophyta";"TPL";"Blechnum�occidentale�L.";"Azores";"yes";"established";2017;"2017";"Jones et al. (2019)"
"Leptoglossus occidentalis";"Leptoglossus occidentalis Heidemann, 1910";"Coreidae";"Hemiptera";"Insecta";"Arthropoda";"GBIF";"Leptoglossus occidentalis (Heidemann, 1910)";"Balearic Islands";"yes";"alien";2010;"2010";"Roques et al. (2010); Roques et al. (2016)"
"Obolodiplosis robiniae";"Obolodiplosis robiniae (Haldeman, 1847)";"Cecidomyiidae";"Diptera";"Insecta";"Arthropoda";"GBIF";"Obolodiplosis robiniae (Haldeman, 1847)";"Balearic Islands";"yes";"alien";2011;"2011";"Roques et al. (2010); Roques et al. (2016)"
"Dasysiphonia japonica";"Dasysiphonia japonica (Yendo) H.-S.Kim";"Dasyaceae";"Ceramiales";"Florideophyceae";"Rhodophyta";"GBIF";"Dasysiphonia japonica";"Belgium";"";"";2015;"2015";"AquaNIS (2020)"
"Ammothea hilgendorfi";"Ammothea hilgendorfi (B�hm, 1879)";"Ammotheidae";"Pantopoda";"Pycnogonida";"Arthropoda";"GBIF";"Ammothea hilgendorfi";"Belgium";"";"";2013;"2013";"AquaNIS (2020)"
